Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
13,Zakaria Aboukhlal,MAR,"FW,MF",Toulouse,Ligue 1,22,2000,27.5,10,83,30,36.1,3.02,1.09,0.12,0.33,15.9,0,0,0,11.5,11.5,0.14,-1.5,-1.5,Matches
14,Tammy Abraham,ENG,FW,Roma,Serie A,24,1997,24.3,8,62,28,45.2,2.55,1.15,0.13,0.29,12.0,0,0,0,10.8,10.8,0.17,-2.8,-2.8,Matches
15,Christian Acella,ITA,MF,Cremonese,Serie A,20,2002,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
16,Francesco Acerbi,ITA,DF,Inter,Serie A,34,1988,26.9,0,18,2,11.1,0.67,0.07,0.0,0.0,15.9,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches
17,Álvaro Aceves,ESP,GK,Valladolid,La Liga,19,2003,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
18,Mohamed Achi,FRA,FW,Nantes,Ligue 1,20,2002,0.4,0,1,0,0.0,2.5,0.0,0.0,0.0,26.1,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
19,Marcos Acuña,ARG,DF,Sevilla,La Liga,30,1991,21.2,3,21,5,23.8,0.99,0.24,0.14,0.6,25.6,1,0,0,1.2,1.2,0.06,1.8,1.8,Matches
20,Che Adams,SCO,FW,Southampton,Premier League,26,1996,22.1,5,47,14,29.8,2.12,0.63,0.11,0.36,13.8,0,0,0,6.6,6.6,0.14,-1.6,-1.6,Matches
21,Tyler Adams,USA,MF,Leeds United,Premier League,23,1999,24.0,0,4,0,0.0,0.17,0.0,0.0,0.0,27.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
22,Sargis Adamyan,ARM,"FW,MF",Köln,Bundesliga,29,1993,7.2,1,21,11,52.4,2.93,1.54,0.05,0.09,14.0,0,0,0,3.4,3.4,0.16,-2.4,-2.4,Matches
23,Tosin Adarabioyo,ENG,DF,Fulham,Premier League,24,1997,23.2,1,16,4,25.0,0.69,0.17,0.06,0.25,21.2,1,0,0,0.7,0.7,0.04,0.3,0.3,Matches
24,Martin Adeline,FRA,"MF,FW",Reims,Ligue 1,18,2003,1.2,0,1,0,0.0,0.84,0.0,0.0,0.0,25.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
25,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,20,2002,15.4,6,37,14,37.8,2.4,0.91,0.16,0.43,17.4,0,0,1,5.0,4.3,0.12,1.0,1.7,Matches
26,Amine Adli,MAR,"FW,MF",Leverkusen,Bundesliga,22,2000,15.9,5,37,17,45.9,2.32,1.07,0.14,0.29,14.0,1,0,0,5.0,5.0,0.14,0.0,0.0,Matches
27,Yacine Adli,FRA,"MF,FW",Milan,Serie A,22,2000,1.6,0,2,2,100.0,1.25,1.25,0.0,0.0,18.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
28,Michel Aebischer,SUI,"FW,MF",Bologna,Serie A,25,1997,17.1,1,15,2,13.3,0.88,0.12,0.07,0.5,17.1,1,0,0,1.5,1.5,0.1,-0.5,-0.5,Matches
29,Felix Afena-Gyan,GHA,"FW,MF",Cremonese,Serie A,19,2003,9.1,0,21,2,9.5,2.31,0.22,0.0,0.0,18.7,0,0,0,1.9,1.9,0.09,-1.9,-1.9,Matches
30,Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,25,1997,26.5,0,22,3,13.6,0.83,0.11,0.0,0.0,15.8,0,0,0,1.7,1.7,0.08,-1.7,-1.7,Matches
31,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,21,2000,7.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
32,Lucien Agoume,FRA,MF,Troyes,Ligue 1,20,2002,12.2,0,9,3,33.3,0.74,0.25,0.0,0.0,15.6,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches
33,Felix Agu,GER,"DF,FW",Werder Bremen,Bundesliga,22,1999,0.5,0,1,0,0.0,1.84,0.0,0.0,0.0,15.9,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
34,Álvaro Aguado,ESP,MF,Valladolid,La Liga,26,1996,21.0,1,20,6,30.0,0.95,0.29,0.05,0.17,24.6,1,0,0,1.0,1.0,0.05,0.0,0.0,Matches
35,Kevin Agudelo,COL,"MF,FW",Spezia,Serie A,23,1998,23.7,0,28,7,25.0,1.18,0.3,0.0,0.0,21.4,0,0,0,1.5,1.5,0.05,-1.5,-1.5,Matches
