Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1792,Marko Milovanović,SRB,FW,Almería,La Liga,18,2003,0.2,1,0,0,2,0,0,0,0,0,0,0,0,0,5,3,62.5,Matches
1793,Kim Min-jae,KOR,DF,Napoli,Serie A,25,1996,33.9,5,0,0,30,7,0,6,41,30,0,0,0,211,91,54,62.8,Matches
1794,Yerry Mina,COL,DF,Everton,Premier League,27,1994,6.6,2,0,0,6,10,0,1,6,8,0,0,0,31,19,15,55.9,Matches
1795,Takumi Minamino,JPN,"MF,FW",Monaco,Ligue 1,27,1995,8.0,2,0,0,20,10,4,31,6,8,1,0,0,42,7,7,50.0,Matches
1796,Tyrone Mings,ENG,DF,Aston Villa,Premier League,29,1993,35.0,7,0,0,18,22,3,3,54,7,1,0,1,174,61,24,71.8,Matches
1797,Óscar Mingueza,ESP,DF,Celta Vigo,La Liga,23,1999,14.3,2,0,0,19,8,1,29,12,21,0,2,0,90,8,8,50.0,Matches
1798,Rafa Mir,ESP,FW,Sevilla,La Liga,25,1997,14.4,1,0,0,23,11,18,6,4,2,0,0,0,42,37,42,46.8,Matches
1799,Aleksei Miranchuk,RUS,MF,Torino,Serie A,26,1995,23.2,0,0,0,9,22,1,30,2,5,1,0,0,92,10,21,32.3,Matches
1800,Juan Miranda,ESP,DF,Betis,La Liga,22,2000,16.4,1,1,0,15,20,1,73,20,16,0,1,0,78,21,17,55.3,Matches
1801,Antonio Mirante,ITA,GK,Milan,Serie A,39,1983,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
1802,Fabio Miretti,ITA,"MF,FW",Juventus,Serie A,18,2003,13.7,2,0,0,24,27,4,28,4,11,1,0,0,74,10,20,33.3,Matches
1803,Filippo Missori,ITA,DF,Roma,Serie A,18,2004,2.0,1,0,0,4,0,0,2,3,3,0,0,0,7,2,2,50.0,Matches
1804,Tyrick Mitchell,ENG,DF,Crystal Palace,Premier League,22,1999,32.1,5,1,0,33,10,2,70,42,49,0,1,0,186,25,26,49.0,Matches
1805,Kaoru Mitoma,JPN,"FW,MF",Brighton,Premier League,25,1997,25.8,0,0,0,29,27,6,41,17,27,1,0,0,120,18,19,48.6,Matches
1806,Aleksandar Mitrović,SRB,FW,Fulham,Premier League,27,1994,22.3,7,0,0,34,40,14,4,3,7,2,0,0,55,100,105,48.8,Matches
1807,Stefan Mitrović,SRB,DF,Getafe,La Liga,32,1990,18.7,5,0,0,13,3,0,0,17,6,0,0,0,63,38,16,70.4,Matches
1808,Maximilian Mittelstädt,GER,"DF,MF",Hertha BSC,Bundesliga,25,1997,9.4,5,0,0,13,9,0,39,26,20,0,1,0,84,10,16,38.5,Matches
1809,Henrikh Mkhitaryan,ARM,MF,Inter,Serie A,33,1989,22.1,4,0,0,28,28,0,19,21,26,0,0,0,166,9,12,42.9,Matches
1810,Anthony Modeste,FRA,FW,Dortmund,Bundesliga,34,1988,9.0,4,0,0,14,7,6,2,2,4,0,0,0,15,33,37,47.1,Matches
1811,Luka Modrić,CRO,MF,Real Madrid,La Liga,36,1985,19.4,7,0,0,21,16,3,62,10,9,0,0,0,86,11,14,44.0,Matches
1812,Terem Moffi,NGA,FW,Nice,Ligue 1,23,1999,14.8,2,0,0,13,10,5,1,2,6,0,0,0,28,19,27,41.3,Matches
1813,Terem Moffi,NGA,FW,Lorient,Ligue 1,23,1999,15.4,1,0,0,17,17,4,3,3,5,0,0,0,35,13,47,21.7,Matches
1814,Mostafa Mohamed,EGY,FW,Nantes,Ligue 1,24,1997,21.5,1,0,0,43,28,13,10,10,13,1,0,0,48,76,87,46.6,Matches
1815,Tobias Mohr,GER,"DF,MF",Schalke 04,Bundesliga,26,1995,9.3,0,0,0,5,4,0,87,8,5,0,0,0,51,8,12,40.0,Matches
1816,Johan Mojica,COL,DF,Villarreal,La Liga,29,1992,7.1,0,0,0,3,14,0,40,4,9,0,0,0,49,7,4,63.6,Matches
