,Player,Position,90s,TCmp,LFTP,LPrgP,LPPA,LxA,Def_3rd,Mid_3rd,Att_3rd,Live,TOSucc,CaPrgC,PrgR,CaFTC,CaCPA,Att_Pen,SSh,npxG,SDist,PTTB
19,Eliesse Ben Seghir,attacking midfield,11.7,342,30,55,21,1.1,38,284,272,583,14,31,93,28,8,40,21,1.9,2.1,5
20,Jason Berthomier,attacking midfield,0.3,19,1,1,0,0.0,1,13,6,20,0,0,2,0,0,0,0,0.0,0.0,0
21,Tom Bischof,attacking midfield,3.5,84,9,16,4,0.8,35,77,74,182,1,8,12,11,2,8,7,1.0,-1.0,1
22,Leonardo Bittencourt,attacking midfield,18.1,579,44,74,26,2.4,176,568,303,1031,26,51,93,48,7,38,25,1.4,1.6,2
23,Ludovic Blas,attacking midfield,31.3,933,87,147,27,4.8,154,785,723,1623,82,122,248,69,39,103,95,9.3,-1.4,3
24,Kevin-Prince Boateng,attacking midfield,5.2,185,19,24,2,0.3,66,172,85,320,1,2,20,1,2,15,6,0.3,-0.3,1
25,Jean-Paul Boëtius,attacking midfield,11.7,303,38,61,10,0.9,152,313,108,564,7,4,23,5,0,7,5,0.5,-0.5,4
26,Quentin Boisgard,attacking midfield,2.0,79,9,11,4,0.4,21,58,58,135,1,7,15,4,1,8,6,0.4,0.6,0
27,Julian Brandt,attacking midfield,26.6,1053,60,119,40,7.8,172,668,814,1634,41,67,218,42,27,80,42,5.2,3.8,6
28,Facundo Buonanotte,attacking midfield,6.3,157,9,13,10,0.4,33,114,115,258,7,9,42,5,2,19,11,1.4,-0.4,0
29,Rémy Cabella,attacking midfield,28.1,1397,153,230,76,12.1,162,922,966,2030,40,113,242,92,22,136,42,8.3,-1.3,11
30,Axel Camblan,attacking midfield,0.8,19,0,4,0,0.1,6,17,24,46,1,2,9,3,1,9,1,0.2,-0.2,0
31,Chem Campbell,attacking midfield,0.8,23,2,4,0,0.0,6,19,23,47,2,2,10,6,1,5,2,0.1,-0.1,0
32,Sergio Canales,attacking midfield,26.7,1116,94,143,51,5.1,180,745,781,1676,28,82,150,69,5,54,38,4.4,-0.6,13
33,Valentin Carboni,attacking midfield,0.3,12,0,1,0,0.0,4,12,10,25,1,2,3,0,0,1,0,0.0,0.0,0
34,Juan Carlos,attacking midfield,10.0,288,1,0,0,0.0,355,1,0,356,0,0,0,0,0,0,0,0.0,0.0,0
35,Fabio Carvalho,attacking midfield,3.9,117,7,12,2,0.3,31,75,91,193,2,9,26,9,2,26,11,1.1,0.9,0
36,El Chadaille Bitshiabu,attacking midfield,6.5,430,26,23,1,0.1,214,283,21,515,1,1,8,3,0,2,0,0.0,0.0,0
37,Ryan Christie,attacking midfield,20.4,521,43,71,19,2.0,187,421,350,940,37,39,71,34,13,61,33,2.8,-1.8,6
38,Alexis Claude-Maurice,attacking midfield,7.4,221,17,27,8,0.9,53,186,136,371,12,11,44,7,7,27,16,2.9,2.1,0
39,Alexis Claude-Maurice,attacking midfield,7.4,221,17,27,8,0.9,53,186,136,371,12,11,44,7,7,27,16,2.9,2.1,2
