,Player,Position,90s,TCmp,LFTP,LPrgP,Def_3rd,Mid_3rd,Att_3rd,Live,TOSucc,CaPrgC,PrgR,BTklInt,CTkl%,BClr,ADWon,ADWonp
213,Máximo Perrone,defensive midfield,0.2,18,0,2,4,12,6,22,0,0,1,0,0.0,0,0,0.0
214,Kalvin Phillips,defensive midfield,3.3,289,32,18,64,243,49,354,1,1,2,11,22.22222222222222,10,5,71.42857142857143
215,Charles Pickel,defensive midfield,27.6,756,80,104,270,715,288,1261,4,18,61,79,56.14035087719298,36,47,38.21138211382114
216,Łukasz Poręba,defensive midfield,2.9,116,12,20,20,93,57,170,1,3,18,9,66.66666666666666,2,3,75.0
217,Mehdi Puch Herrantz,defensive midfield,0.5,22,2,4,7,17,13,37,1,3,1,5,50.0,0,0,0.0
218,Ivan Radovanović,defensive midfield,7.5,214,19,16,130,182,14,323,0,2,2,19,40.0,9,8,40.0
219,Rayan Raveloson,defensive midfield,27.0,917,82,100,483,687,267,1420,8,36,61,77,69.6969696969697,70,29,56.86274509803921
220,Samuele Ricci,defensive midfield,23.0,1034,96,104,233,900,258,1376,8,43,31,49,78.26086956521739,29,11,42.30769230769231
221,Declan Rice,defensive midfield,36.4,1846,233,240,670,1419,433,2474,35,88,37,142,62.0,58,37,58.730158730158735
222,Jaïro Riedewald,defensive midfield,0.7,34,2,1,19,23,14,54,0,1,1,2,0.0,4,2,66.66666666666666
223,Tomás Rincón,defensive midfield,28.4,1018,116,122,331,928,259,1497,27,27,35,86,47.540983606557376,18,35,68.62745098039215
224,Marc Roca,defensive midfield,25.7,978,157,172,333,914,333,1571,17,25,28,89,30.76923076923077,24,18,58.06451612903226
225,Rodri,defensive midfield,32.3,2723,265,260,706,1993,592,3272,25,76,37,100,50.0,43,72,69.23076923076923
226,Rodri,defensive midfield,32.3,2723,265,260,706,1993,592,3272,25,76,37,100,50.0,43,2,14.285714285714285
227,Rodri,defensive midfield,32.3,2723,265,260,706,1993,592,3272,25,76,37,29,47.05882352941176,2,72,69.23076923076923
228,Rodri,defensive midfield,32.3,2723,265,260,706,1993,592,3272,25,76,37,29,47.05882352941176,2,2,14.285714285714285
229,Rodri,defensive midfield,32.3,2723,265,260,119,473,438,1015,29,57,104,100,50.0,43,72,69.23076923076923
230,Rodri,defensive midfield,32.3,2723,265,260,119,473,438,1015,29,57,104,100,50.0,43,2,14.285714285714285
231,Rodri,defensive midfield,32.3,2723,265,260,119,473,438,1015,29,57,104,29,47.05882352941176,2,72,69.23076923076923
232,Rodri,defensive midfield,32.3,2723,265,260,119,473,438,1015,29,57,104,29,47.05882352941176,2,2,14.285714285714285
233,Rodri,defensive midfield,32.3,732,52,102,706,1993,592,3272,25,76,37,100,50.0,43,72,69.23076923076923
234,Rodri,defensive midfield,32.3,732,52,102,706,1993,592,3272,25,76,37,100,50.0,43,2,14.285714285714285
235,Rodri,defensive midfield,32.3,732,52,102,706,1993,592,3272,25,76,37,29,47.05882352941176,2,72,69.23076923076923
236,Rodri,defensive midfield,32.3,732,52,102,706,1993,592,3272,25,76,37,29,47.05882352941176,2,2,14.285714285714285
237,Rodri,defensive midfield,32.3,732,52,102,119,473,438,1015,29,57,104,100,50.0,43,72,69.23076923076923
238,Rodri,defensive midfield,32.3,732,52,102,119,473,438,1015,29,57,104,100,50.0,43,2,14.285714285714285
239,Rodri,defensive midfield,32.3,732,52,102,119,473,438,1015,29,57,104,29,47.05882352941176,2,72,69.23076923076923
240,Rodri,defensive midfield,32.3,732,52,102,119,473,438,1015,29,57,104,29,47.05882352941176,2,2,14.285714285714285
241,Rodri,defensive midfield,17.8,2723,265,260,706,1993,592,3272,25,76,37,100,50.0,43,72,69.23076923076923
242,Rodri,defensive midfield,17.8,2723,265,260,706,1993,592,3272,25,76,37,100,50.0,43,2,14.285714285714285
243,Rodri,defensive midfield,17.8,2723,265,260,706,1993,592,3272,25,76,37,29,47.05882352941176,2,72,69.23076923076923
244,Rodri,defensive midfield,17.8,2723,265,260,706,1993,592,3272,25,76,37,29,47.05882352941176,2,2,14.285714285714285
245,Rodri,defensive midfield,17.8,2723,265,260,119,473,438,1015,29,57,104,100,50.0,43,72,69.23076923076923
246,Rodri,defensive midfield,17.8,2723,265,260,119,473,438,1015,29,57,104,100,50.0,43,2,14.285714285714285
247,Rodri,defensive midfield,17.8,2723,265,260,119,473,438,1015,29,57,104,29,47.05882352941176,2,72,69.23076923076923
248,Rodri,defensive midfield,17.8,2723,265,260,119,473,438,1015,29,57,104,29,47.05882352941176,2,2,14.285714285714285
249,Rodri,defensive midfield,17.8,732,52,102,706,1993,592,3272,25,76,37,100,50.0,43,72,69.23076923076923
250,Rodri,defensive midfield,17.8,732,52,102,706,1993,592,3272,25,76,37,100,50.0,43,2,14.285714285714285
251,Rodri,defensive midfield,17.8,732,52,102,706,1993,592,3272,25,76,37,29,47.05882352941176,2,72,69.23076923076923
252,Rodri,defensive midfield,17.8,732,52,102,706,1993,592,3272,25,76,37,29,47.05882352941176,2,2,14.285714285714285
253,Rodri,defensive midfield,17.8,732,52,102,119,473,438,1015,29,57,104,100,50.0,43,72,69.23076923076923
254,Rodri,defensive midfield,17.8,732,52,102,119,473,438,1015,29,57,104,100,50.0,43,2,14.285714285714285
255,Rodri,defensive midfield,17.8,732,52,102,119,473,438,1015,29,57,104,29,47.05882352941176,2,72,69.23076923076923
256,Rodri,defensive midfield,17.8,732,52,102,119,473,438,1015,29,57,104,29,47.05882352941176,2,2,14.285714285714285
257,Guido Rodríguez,defensive midfield,31.9,1464,133,123,607,1248,229,2064,22,11,18,157,53.46534653465347,76,44,48.888888888888886
258,Oriol Romeu,defensive midfield,33.6,1433,124,137,594,1138,273,1989,21,17,16,109,50.98039215686274,55,41,47.12643678160919
259,Marten de Roon,defensive midfield,32.9,1587,156,171,634,1232,354,2209,4,18,23,113,45.67901234567901,58,51,62.19512195121951
260,Pablo Rosario,defensive midfield,19.6,930,84,112,357,693,184,1227,7,18,42,69,52.94117647058824,32,16,42.10526315789473
261,Nicolò Rovella,defensive midfield,19.6,1228,108,100,378,967,257,1585,8,27,21,86,37.83783783783784,17,9,47.368421052631575
262,Sebastian Rudy,defensive midfield,8.8,330,32,42,141,296,112,547,0,7,7,37,48.14814814814815,13,7,41.17647058823529
263,Dikeni Salifou,defensive midfield,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
264,Diadie Samassékou,defensive midfield,0.4,17,2,1,5,15,3,23,1,0,1,1,0.0,0,0,0.0
265,Samuel,defensive midfield,32.1,878,46,93,178,582,881,1611,53,144,260,84,36.11111111111111,16,17,29.310344827586203
266,Jerdy Schouten,defensive midfield,27.9,1299,118,139,492,1138,193,1807,27,15,29,103,55.10204081632652,43,28,50.90909090909091
