,Player,Position,PTCrs,PTTB,LxA,LKP,LFTP,LPPA,LPrgP,Att_Pen,TOAtt,TOSucc,CaPrgC,CaCPA,PrgR,90s,npxG,npxG/Sh,SSh_p90,SSoT_90,Off
516,Sidi Sané,right winger,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0.3,0.0,0.0,0.0,0.0,0
517,Nicola Sansone,left winger,20,0,0.8,8,6,4,13,29,19,4,17,7,72,8.2,2.8,2.8,2.682926829268293,0.9756097560975612,11
518,Pablo Sarabia,right winger,46,2,1.9,21,40,22,59,37,17,3,26,4,91,12.6,4.4,4.4,2.063492063492064,0.5555555555555556,5
519,Pablo Sarabia,right winger,16,5,1.9,21,40,22,59,37,17,3,26,4,91,12.6,4.4,4.4,2.063492063492064,0.5555555555555556,5
520,Kevin Schade,right winger,15,1,1.3,8,13,6,18,61,47,15,31,20,77,10.1,2.3000000000000003,2.3000000000000003,1.5841584158415842,0.495049504950495,6
521,Kevin Schade,right winger,3,0,1.3,8,13,6,18,61,47,15,31,20,77,10.1,2.3000000000000003,2.3000000000000003,1.5841584158415842,0.495049504950495,6
522,Kingsley Schindler,right winger,45,0,0.7,10,30,12,50,25,22,8,20,5,75,12.1,2.2,2.2,0.9090909090909092,0.3305785123966942,2
523,Jeffrey Schlupp,left winger,16,3,1.0,18,59,11,98,48,56,30,32,11,67,28.1,3.2,3.2,0.99644128113879,0.3202846975088967,0
524,Demba Seck,right winger,7,2,0.3,6,8,5,17,27,30,16,29,12,42,5.8,0.6,0.6,1.7241379310344829,0.5172413793103449,6
525,Stephan El Shaarawy,left winger,23,5,1.6,27,36,21,66,63,70,26,58,20,136,16.9,5.5,5.5,2.485207100591716,1.124260355029586,9
526,Caio Henrique Oliveira Silva,right winger,169,3,5.4,51,137,34,197,36,33,19,56,9,141,32.2,0.7,0.7,0.3105590062111801,0.186335403726708,1
527,Abdallah Sima,right winger,16,1,1.3,16,18,6,21,78,50,21,38,17,140,20.4,4.8,4.8,1.911764705882353,0.4901960784313726,12
528,Moses Simon,left winger,140,3,4.0,43,34,31,62,104,95,34,138,43,218,26.1,4.6,3.6,1.2260536398467432,0.3448275862068965,4
529,Luis Sinisterra,left winger,7,2,0.9,9,18,17,39,32,42,19,30,8,84,9.6,3.7,3.7,2.916666666666667,1.1458333333333337,5
530,Tim Skarke,right winger,8,0,0.9,11,7,4,13,15,13,3,7,1,36,5.5,0.7,0.7,2.727272727272727,1.0909090909090908,3
