,Player,Position,BTklInt,CTkl%,PTCrs,PTTB,SCA,LPrgP,LFTP,LxA,CaFTC,CaPrgC,Def_3rd,Mid_3rd,Att_3rd,Live,90s,PrgR
330,Valentino Livramento,right-back,4,0.0,0,0,0,0,1,0.0,0,0,19,16,3,37,0.3,0
331,Bradley Locko,left-back,57,56.66666666666666,13,1,26,62,52,0.7,19,42,274,365,167,789,14.8,44
332,Bradley Locko,left-back,57,56.66666666666666,6,0,26,62,52,0.7,19,42,274,365,167,789,14.8,44
333,Renan Lodi,left-back,85,50.0,75,0,30,31,25,1.3,15,24,478,418,263,1143,24.6,70
334,Jordan Lotomba,right-back,97,64.58333333333334,48,2,55,106,70,1.4,72,82,506,857,385,1720,27.3,99
335,José Luis Gayà,left-back,103,58.108108108108105,213,2,94,124,94,5.6,69,74,570,734,703,1985,30.1,200
336,Charalambos Lykogiannis,left-back,31,38.46153846153847,69,1,29,60,51,1.5,19,32,226,403,234,855,12.3,47
337,Deiver Machado,left-back,66,61.76470588235294,60,0,42,54,33,2.6,41,59,269,484,364,1105,24.3,131
338,Pablo Maffeo,right-back,101,57.692307692307686,123,2,62,61,53,2.7,52,67,462,660,499,1599,33.1,134
339,Ainsley Maitland-Niles,right wingback,67,63.63636363636363,20,2,24,57,52,0.7,13,15,328,440,155,912,15.6,35
340,Tyrell Malacia,left-back,71,56.00000000000001,15,0,19,44,36,0.7,17,19,378,392,225,989,15.5,33
341,Lorenzo Malagrida,left wingback,1,33.33333333333333,2,0,2,4,1,0.1,0,1,6,27,18,51,1.2,10
342,Hugo Mallo,right-back,77,66.66666666666666,67,1,50,93,89,2.6,22,27,549,744,415,1694,24.0,108
343,Reinildo Mandava,left-back,96,77.55102040816327,16,0,23,70,51,0.8,20,28,501,658,143,1297,20.6,41
344,Javier Manquillo,right-back,4,100.0,1,0,1,4,1,0.0,0,2,11,16,9,36,0.4,1
345,Faitout Maouassa,left-back,72,43.90243902439025,81,1,57,51,30,1.9,41,37,223,383,334,924,21.4,108
346,Solly March,left wingback,77,28.57142857142857,155,3,140,135,63,6.3,48,110,191,521,962,1659,30.2,357
347,Riccardo Marchizza,left-back,4,50.0,18,0,8,15,10,0.1,6,3,51,106,48,205,3.1,15
348,Óscar de Marcos,right-back,96,52.63157894736842,130,0,75,204,170,4.5,68,76,525,1042,671,2218,31.3,153
349,Aarón Martín,left-back,57,52.5,145,0,59,86,68,3.4,19,25,303,523,380,1191,20.5,61
350,Arnau Martinez,right-back,94,44.70588235294118,60,3,75,113,80,3.2,31,64,631,861,427,1902,30.4,98
351,Adam Marušić,right-back,79,64.1025641025641,17,0,35,116,107,1.2,39,38,795,1005,260,2049,30.7,43
352,Adam Masina,left-back,20,40.0,10,1,5,24,26,0.3,3,4,243,219,41,496,8.8,6
353,Henning Matriciani,right-back,66,43.333333333333336,20,0,21,51,38,0.5,17,21,505,463,137,1089,20.7,10
354,Philipp Max,left-back,15,31.25,60,0,31,34,28,2.4,7,14,107,230,206,541,7.7,52
355,Noussair Mazraoui,right-back,39,62.5,22,2,33,99,58,1.7,26,39,252,449,282,977,11.9,81
356,Pasquale Mazzocchi,right-back,42,45.94594594594595,90,2,63,60,37,2.0,55,70,348,469,398,1196,21.8,102
357,Kevin Mbabu,right-back,6,33.33333333333333,7,0,3,8,4,0.4,2,4,38,40,38,114,1.6,11
358,Fernando Medrano,left-back,3,100.0,0,0,0,0,0,0.0,0,0,5,1,0,6,0.1,0
359,Birger Meling,left-back,47,48.0,18,2,18,91,57,1.8,27,37,196,480,253,925,13.4,74
360,Houboulang Mendes,right-back,26,40.74074074074074,31,0,9,18,14,0.2,10,18,160,183,97,436,9.8,30
361,Nuno Mendes,left-back,62,73.17073170731707,30,2,45,77,56,3.6,35,51,242,417,495,1139,17.2,195
362,Antoine Mendy,right-back,24,60.0,13,0,17,21,11,0.3,5,2,122,186,88,394,5.8,37
363,Arial Mendy,left-back,8,100.0,10,0,5,7,7,0.3,4,6,45,57,46,147,2.5,22
