Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,TCmp,TAtt,TCmpp,TTD,TPD,SCmp,SAtt,SCmpp,MCmp,MAtt,MCmpp,LCmp,LAtt,LCmpp,LAst,LxAG,LxA,LAxAG,LKP,LFTP,LPPA,LCrsPA,LPrgP
63,Raúl Albiol,ESP,DF,Villarreal,La Liga,36,1985,23.5,1303,1472,88.5,28074,10667,321,349,91.97707736389685,757,811,93.34155363748458,215,287,74.91289198606272,0,0.0,0.5,0.0,2,98,5,0,100
64,Marc Albrighton,ENG,"FW,MF",Leicester City,Premier League,32,1989,2.6,89,148,60.1,1440,551,48,60,80.0,23,34,67.64705882352942,12,34,35.294117647058826,0,0.9,0.4,-0.9,6,6,5,2,7
65,Thiago Alcántara,ESP,MF,Liverpool,Premier League,31,1991,13.9,946,1097,86.2,17219,4988,433,466,92.91845493562232,346,392,88.26530612244898,136,172,79.06976744186046,0,1.1,1.3,-1.1,17,110,20,1,120
66,Carlos Alcaraz,ARG,"MF,FW",Southampton,Premier League,19,2002,11.4,222,290,76.6,3147,669,114,137,83.21167883211679,80,95,84.21052631578947,8,19,42.10526315789473,2,0.7,0.7,1.3,5,20,6,0,28
67,Rubén Alcaraz,ESP,MF,Cádiz,La Liga,31,1991,22.7,827,1046,79.1,16517,4831,331,386,85.75129533678756,340,388,87.62886597938144,138,219,63.013698630136986,0,1.3,1.2,-1.3,20,93,16,8,105
68,Omar Alderete,PAR,DF,Getafe,La Liga,25,1996,22.7,509,877,58.0,11252,5744,153,218,70.18348623853211,260,351,74.07407407407408,94,268,35.07462686567165,1,0.8,1.0,0.2,5,69,12,0,96
69,Iván Alejo,ESP,"MF,FW",Cádiz,La Liga,27,1995,14.6,219,392,55.9,3409,1108,128,173,73.98843930635837,55,111,49.549549549549546,24,61,39.34426229508197,1,2.4,1.6,-1.4,21,10,24,20,16
70,Doğan Alemdar,TUR,GK,Rennes,Ligue 1,19,2002,4.5,95,145,65.5,2786,2199,20,20,100.0,47,47,100.0,28,77,36.36363636363637,0,0.1,0.0,-0.1,1,2,0,0,0
71,Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,24,1998,23.5,607,809,75.0,10256,2596,291,346,84.10404624277457,211,270,78.14814814814814,69,120,57.49999999999999,2,1.6,1.8,0.4,15,71,20,6,87
72,Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,23,1998,32.5,2188,2912,75.1,41590,16323,1000,1123,89.04719501335708,822,1045,78.6602870813397,331,642,51.557632398753896,9,11.5,9.1,-2.5,71,239,82,28,235
73,Alejandro Alfaro,ESP,MF,Elche,La Liga,20,2002,0.2,1,1,100.0,3,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
74,Ángel Algobia,ESP,MF,Getafe,La Liga,23,1999,12.6,420,521,80.6,7479,1575,179,211,84.83412322274881,173,197,87.81725888324873,52,82,63.41463414634146,0,0.6,0.3,-0.6,5,35,4,4,42
75,Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,La Liga,18,2004,6.5,108,165,65.5,1506,407,72,82,87.8048780487805,27,53,50.943396226415096,5,17,29.411764705882355,2,1.6,1.6,0.4,7,6,10,7,8
76,Faride Alidou,GER,"DF,MF",Eint Frankfurt,Bundesliga,21,2001,2.0,74,101,73.3,1164,410,38,41,92.6829268292683,33,46,71.73913043478261,2,9,22.22222222222222,1,0.5,0.3,0.5,3,8,7,3,16
77,Alisson,BRA,GK,Liverpool,Premier League,29,1992,37.0,1241,1453,85.4,29043,18696,307,309,99.35275080906149,657,666,98.64864864864865,273,469,58.2089552238806,1,0.3,0.0,0.7,1,16,0,0,3
78,Jim Allevinah,GAB,"DF,FW",Clermont Foot,Ligue 1,27,1995,24.9,658,848,77.6,9331,2378,388,453,85.65121412803532,216,273,79.12087912087912,25,62,40.32258064516129,1,2.0,2.5,-1.0,18,37,14,9,59
79,Dele Alli,ENG,MF,Everton,Premier League,26,1996,0.4,12,15,80.0,123,10,6,8,75.0,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,1
