Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,GA,npg,PK,PKatt,CrdY,CrdR,xG,NPxG,xAG,NPxG+xAG,PrgC,PrgP,PrgR,Gls_p90,Ast_p90,GA_p90,npg_p90,npG+A_p90,xG_p90,xAG_p90,xG+xAG_p90,NPxG_p90,NPxG+xAG_p90,
67,Rubén Alcaraz,ESP,MF,Cádiz,La Liga,31,1991,31,22,2043,22.7,3,0,3,1,2,3,11,1,4,1.6,1.3,2.9,30,105,20,0.13215859,0,0.13215859,0.044052863,0.044052863,0.176211454,0.057268722,0.233480176,0.070484581,0.127753304,Matches
68,Omar Alderete,PAR,DF,Getafe,La Liga,25,1996,25,23,2047,22.7,1,1,2,1,0,0,9,0,0.6,0.6,0.8,1.4,28,96,8,0.044052863,0.044052863,0.088105727,0.044052863,0.088105727,0.026431718,0.035242291,0.061674009,0.026431718,0.061674009,Matches
69,Iván Alejo,ESP,"MF,FW",Cádiz,La Liga,27,1995,31,13,1311,14.6,0,1,1,0,0,0,13,1,1.2,1.2,2.4,3.6,52,16,103,0,0.068493151,0.068493151,0,0.068493151,0.082191781,0.164383562,0.246575342,0.082191781,0.246575342,Matches
70,Doğan Alemdar,TUR,GK,Rennes,Ligue 1,19,2002,6,4,406,4.5,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.022222222,0.022222222,0,0.022222222,Matches
71,Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,24,1998,35,26,2119,23.5,2,2,4,2,0,0,12,1,2.3,2.3,1.6,3.9,24,87,78,0.085106383,0.085106383,0.170212766,0.085106383,0.170212766,0.09787234,0.068085106,0.165957447,0.09787234,0.165957447,Matches
72,Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,23,1998,37,34,2923,32.5,2,9,11,2,0,0,5,0,2.4,2.4,11.5,13.8,43,235,139,0.061538462,0.276923077,0.338461538,0.061538462,0.338461538,0.073846154,0.353846154,0.427692308,0.073846154,0.424615385,Matches
73,Alejandro Alfaro,ESP,MF,Elche,La Liga,20,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
74,Ángel Algobia,ESP,MF,Getafe,La Liga,23,1999,26,11,1138,12.6,0,0,0,0,0,0,3,0,0.3,0.3,0.6,0.9,10,42,11,0,0,0,0,0,0.023809524,0.047619048,0.071428571,0.023809524,0.071428571,Matches
75,Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,La Liga,18,2004,19,5,587,6.5,1,2,3,1,0,0,1,0,1.8,1.8,1.6,3.5,30,8,63,0.153846154,0.307692308,0.461538462,0.153846154,0.461538462,0.276923077,0.246153846,0.523076923,0.276923077,0.538461538,Matches
76,Faride Alidou,GER,"DF,MF",Eint Frankfurt,Bundesliga,21,2001,15,0,182,2,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,8,16,24,0,0.5,0.5,0,0.5,0.05,0.25,0.3,0.05,0.3,Matches
77,Alisson,BRA,GK,Liverpool,Premier League,29,1992,37,37,3330,37,0,1,1,0,0,0,1,0,0,0,0.3,0.3,0,3,0,0,0.027027027,0.027027027,0,0.027027027,0,0.008108108,0.008108108,0,0.008108108,Matches
78,Jim Allevinah,GAB,"DF,FW",Clermont Foot,Ligue 1,27,1995,36,25,2244,24.9,1,1,2,1,0,0,2,0,2.5,2.5,2,4.5,82,59,141,0.040160643,0.040160643,0.080321285,0.040160643,0.080321285,0.100401606,0.080321285,0.180722892,0.100401606,0.180722892,Matches
79,Dele Alli,ENG,MF,Everton,Premier League,26,1996,2,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Matches
80,Domingos André Ribeiro Almeida,POR,MF,Valencia,La Liga,22,2000,34,29,2539,28.2,2,4,6,2,0,0,3,0,1.4,1.4,3.4,4.9,74,197,71,0.070921986,0.141843972,0.212765957,0.070921986,0.212765957,0.04964539,0.120567376,0.170212766,0.04964539,0.173758865,Matches
81,Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,28,1994,34,29,2491,27.7,11,2,13,11,0,0,2,0,8,8,3.2,11.1,77,124,264,0.397111913,0.072202166,0.469314079,0.397111913,0.469314079,0.288808664,0.115523466,0.40433213,0.288808664,0.400722022,Matches
82,Marcos Alonso,ESP,DF,Barcelona,La Liga,31,1990,24,11,1172,13,1,0,1,1,0,0,3,0,0.9,0.9,0.3,1.2,26,71,12,0.076923077,0,0.076923077,0.076923077,0.076923077,0.069230769,0.023076923,0.092307692,0.069230769,0.092307692,Matches
83,Mickaël Alphonse,GLP,DF,Ajaccio,Ligue 1,33,1989,26,14,1361,15.1,0,0,0,0,0,0,2,1,0.5,0.5,0.7,1.2,30,51,34,0,0,0,0,0,0.033112583,0.046357616,0.079470199,0.033112583,0.079470199,Matches
84,Éder Álvarez Balanta,COL,"MF,FW",Schalke 04,Bundesliga,29,1993,6,3,238,2.6,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,3,12,0,0,0,0,0,0,0.038461538,0.115384615,0.153846154,0.038461538,0.153846154,Matches
85,Carlos Álvarez,ESP,MF,Sevilla,La Liga,18,2003,1,0,10,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
86,Gastón Álvarez,URU,DF,Getafe,La Liga,22,2000,22,16,1501,16.7,2,0,2,2,0,0,7,1,0.5,0.5,0.2,0.8,11,38,27,0.119760479,0,0.119760479,0.119760479,0.119760479,0.02994012,0.011976048,0.041916168,0.02994012,0.047904192,Matches
87,Julián Álvarez,ARG,"FW,MF",Manchester City,Premier League,22,2000,31,13,1465,16.3,9,0,9,8,1,1,0,0,7,6.2,1.8,8,38,37,99,0.552147239,0,0.552147239,0.490797546,0.490797546,0.429447853,0.110429448,0.539877301,0.380368098,0.490797546,Matches
88,Agustín Álvarez Martínez,URU,"FW,MF",Sassuolo,Serie A,21,2001,22,1,368,4.1,1,1,2,1,0,0,1,0,1.5,1.5,0.4,1.9,2,6,19,0.243902439,0.243902439,0.487804878,0.243902439,0.487804878,0.365853659,0.097560976,0.463414634,0.365853659,0.463414634,Matches
89,Yeray Álvarez,ESP,DF,Athletic Club,La Liga,27,1995,28,27,2332,25.9,1,1,2,1,0,0,7,1,0.8,0.8,1.1,1.9,32,152,8,0.038610039,0.038610039,0.077220077,0.038610039,0.077220077,0.030888031,0.042471042,0.073359073,0.030888031,0.073359073,Matches
90,Ibrahim Amadou,FRA,"DF,MF",Angers,Ligue 1,29,1993,7,4,424,4.7,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,0,5,5,0,0,0,0,0,0.021276596,0.021276596,0.042553191,0.021276596,0.021276596,Matches
91,Selim Amallah,MAR,"MF,FW",Valladolid,La Liga,25,1996,7,3,267,3,2,1,3,2,0,0,2,1,0.9,0.9,0.3,1.1,11,10,9,0.666666667,0.333333333,1,0.666666667,1,0.3,0.1,0.4,0.3,0.366666667,Matches
92,Daniel Amartey,GHA,DF,Leicester City,Premier League,27,1994,20,18,1610,17.9,0,0,0,0,0,0,1,0,1.1,1.1,0.5,1.6,23,66,5,0,0,0,0,0,0.061452514,0.027932961,0.089385475,0.061452514,0.089385475,Matches
93,Amath,SEN,"MF,FW",Mallorca,La Liga,26,1996,28,12,1227,13.6,2,0,2,2,0,0,2,1,2.7,2.7,0.8,3.5,33,16,69,0.147058824,0,0.147058824,0.147058824,0.147058824,0.198529412,0.058823529,0.257352941,0.198529412,0.257352941,Matches
94,Jordan Amavi,FRA,DF,Getafe,La Liga,28,1994,5,1,200,2.2,0,0,0,0,0,0,2,1,0,0,0,0,4,5,5,0,0,0,0,0,0,0,0,0,0,Matches
95,Lukáš Ambros,CZE,MF,Wolfsburg,Bundesliga,18,2004,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
96,Kelvin Amian,FRA,DF,Spezia,Serie A,24,1998,30,26,2372,26.4,0,1,1,0,0,0,7,1,2.7,2.7,2.3,5,53,102,72,0,0.037878788,0.037878788,0,0.037878788,0.102272727,0.087121212,0.189393939,0.102272727,0.189393939,Matches
97,Bruno Amione,ARG,DF,"Hellas Verona,Sampdoria","Serie A,Serie A",20,2002,27,26,2144,23.8,1,1,2,1,0,0,11,1,0.9,0.9,0.6,1.5,11,54,9,0.042016807,0.042016807,0.084033613,0.042016807,0.084033613,0.037815126,0.025210084,0.06302521,0.037815126,0.06302521,Matches
99,Nadiem Amiri,GER,"MF,FW",Leverkusen,Bundesliga,25,1996,25,9,977,10.9,4,1,5,3,1,1,6,0,1.9,1.1,1.1,2.2,30,55,30,0.366972477,0.091743119,0.458715596,0.275229358,0.366972477,0.174311927,0.100917431,0.275229358,0.100917431,0.201834862,Matches
100,Samuel Amo-Ameyaw,ENG,MF,Southampton,Premier League,16,2006,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,,,,,,,,Matches
101,Ethan Ampadu,WAL,"DF,MF",Spezia,Serie A,21,2000,31,31,2639,29.3,0,1,1,0,0,0,10,1,1.1,1.1,1.1,2.2,28,125,10,0,0.034129693,0.034129693,0,0.034129693,0.037542662,0.037542662,0.075085324,0.037542662,0.075085324,Matches
