Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SGls,SSh,SSoT,SSoTp,SSh_p90,SSoT_90,SG_Sh,SG_SoT,SFK,SPK,SPKatt,xG,npxG,npxG/Sh,G-xG,npG-xG,SDist
97,Bruno Amione,ARG,DF,"Hellas Verona,Sampdoria","Serie A,Serie A",20,2002,23.8,1,12,2,,0.5042016806722689,0.08403361344537814,0.08,0.5,5.75,0,0,0,0.9,0.9,0.075,0.1,0.1
99,Nadiem Amiri,GER,"MF,FW",Leverkusen,Bundesliga,25,1996,10.9,4,23,8,34.78260869565217,2.110091743119266,0.7339449541284403,0.13,0.38,24.3,3,1,1,1.9,1.1,0.04782608695652174,2.1,1.9
100,Samuel Amo-Ameyaw,ENG,MF,Southampton,Premier League,16,2006,0.0,0,0,0,,,,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
101,Ethan Ampadu,WAL,"DF,MF",Spezia,Serie A,21,2000,29.3,0,16,5,31.25,0.5460750853242321,0.1706484641638225,0.0,0.0,18.1,0,0,0,1.1,1.1,0.06875,-1.1,-1.1
102,Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,25,1996,22.2,0,13,4,30.76923076923077,0.5855855855855856,0.1801801801801802,0.0,0.0,26.6,0,0,0,0.5,0.5,0.038461538461538464,-0.5,-0.5
103,Ayoub Amraoui,MAR,"DF,FW",Nice,Ligue 1,18,2004,3.3,0,1,0,0.0,0.30303030303030304,0.0,0.0,0.0,20.4,0,0,0,0.0,0.0,0.0,0.0,0.0
104,Joachim Andersen,DEN,DF,Crystal Palace,Premier League,26,1996,30.9,1,22,9,40.909090909090914,0.7119741100323624,0.29126213592233013,0.05,0.11,13.9,1,0,0,1.8,1.8,0.08181818181818182,-0.8,-0.8
105,Elliot Anderson,SCO,"MF,FW",Newcastle Utd,Premier League,19,2002,4.6,0,11,4,36.36363636363637,2.3913043478260874,0.8695652173913044,0.0,0.0,16.0,0,0,0,1.0,1.0,0.09090909090909091,-1.0,-1.0
106,Felipe Anderson,BRA,FW,Lazio,Serie A,29,1993,32.9,9,41,23,56.09756097560976,1.2462006079027357,0.6990881458966566,0.22,0.39,15.1,0,0,0,6.0,6.0,0.14634146341463414,3.0,3.0
107,Benjamin André,FRA,MF,Lille,Ligue 1,31,1990,32.4,1,24,4,16.666666666666664,0.7407407407407408,0.1234567901234568,0.04,0.25,16.9,0,0,0,1.6,1.6,0.06666666666666667,-0.6,-0.6
108,Marcos André,BRA,"FW,MF",Valencia,La Liga,25,1996,5.0,1,17,2,11.76470588235294,3.4,0.4,0.06,0.5,14.6,0,0,0,1.5,1.3,0.07647058823529412,-0.5,-0.3
109,Komnen Andrić,SRB,FW,Clermont Foot,Ligue 1,27,1995,16.1,4,28,11,39.285714285714285,1.7391304347826086,0.6832298136645962,0.11,0.27,14.4,0,1,2,5.5,3.9,0.1392857142857143,-1.5,-0.9
110,Robert Andrich,GER,MF,Leverkusen,Bundesliga,27,1994,26.7,2,30,9,30.0,1.1235955056179776,0.33707865168539325,0.07,0.22,21.6,1,0,0,1.6,1.6,0.05333333333333334,0.4,0.4
111,Angeliño,ESP,DF,Hoffenheim,Bundesliga,25,1997,29.1,0,21,4,19.047619047619047,0.7216494845360825,0.1374570446735395,0.0,0.0,20.5,4,0,0,1.1,1.1,0.05238095238095238,-1.1,-1.1
112,Fabrizio Angileri,ARG,DF,Getafe,La Liga,28,1994,6.5,0,3,0,0.0,0.46153846153846156,0.0,0.0,0.0,23.6,0,0,0,0.1,0.1,0.03333333333333333,-0.1,-0.1
113,Jaidon Anthony,ENG,"MF,FW",Bournemouth,Premier League,22,1999,14.0,3,22,13,59.09090909090909,1.5714285714285714,0.9285714285714286,0.14,0.23,19.3,2,0,0,2.2,2.2,0.1,0.8,0.8
114,Janis Antiste,FRA,FW,Sassuolo,Serie A,19,2002,0.6,1,1,1,100.0,1.6666666666666667,1.6666666666666667,1.0,1.0,17.3,0,0,0,0.2,0.2,0.2,0.8,0.8
115,Waldemar Anton,GER,DF,Stuttgart,Bundesliga,26,1996,32.6,1,24,5,20.833333333333336,0.7361963190184049,0.15337423312883436,0.04,0.2,18.3,0,0,0,1.6,1.6,0.06666666666666667,-0.6,-0.6
116,Josep Antoni Gayá,ESP,"DF,MF",Mallorca,La Liga,22,2000,1.1,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
117,José Antonio,ESP,"MF,DF",Cádiz,La Liga,18,2004,0.5,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
118,Marcos Antônio,BRA,MF,Lazio,Serie A,22,2000,6.6,1,3,1,33.33333333333333,0.4545454545454546,0.15151515151515152,0.33,1.0,18.3,0,0,0,1.2,1.2,0.39999999999999997,-0.2,-0.2
119,Michail Antonio,JAM,FW,West Ham,Premier League,32,1990,20.3,5,39,13,33.33333333333333,1.921182266009852,0.6403940886699507,0.13,0.38,11.6,0,0,0,6.6,6.6,0.1692307692307692,-1.6,-1.6
120,Antony,BRA,FW,Manchester Utd,Premier League,22,2000,20.0,4,72,24,33.33333333333333,3.6,1.2,0.06,0.17,19.6,0,0,0,6.6,6.6,0.09166666666666666,-2.6,-2.6
121,Valentin Antov,BUL,DF,Monza,Serie A,21,2000,3.4,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
122,Christopher Antwi-Adjei,GHA,"FW,MF",Bochum,Bundesliga,28,1994,22.0,3,29,8,27.586206896551722,1.3181818181818181,0.36363636363636365,0.1,0.38,20.6,0,0,0,2.2,2.2,0.07586206896551725,0.8,0.8
123,Anuar,MAR,"MF,FW",Valladolid,La Liga,27,1995,2.3,1,3,1,33.33333333333333,1.3043478260869565,0.4347826086956522,0.33,1.0,13.0,0,0,0,0.3,0.3,0.09999999999999999,0.7,0.7
124,Houssem Aouar,ALG,MF,Lyon,Ligue 1,24,1998,5.8,1,14,6,42.857142857142854,2.413793103448276,1.0344827586206897,0.07,0.17,15.1,0,0,0,1.4,1.4,0.09999999999999999,-0.4,-0.4
125,Adil Aouchiche,FRA,MF,Lorient,Ligue 1,20,2002,2.8,0,8,3,37.5,2.857142857142857,1.0714285714285714,0.0,0.0,17.1,0,0,0,0.5,0.5,0.0625,-0.5,-0.5
126,Dennis Appiah,FRA,"DF,MF",Nantes,Ligue 1,30,1992,8.8,0,5,1,20.0,0.5681818181818181,0.11363636363636363,0.0,0.0,19.3,0,0,0,0.4,0.4,0.08,-0.4,-0.4
