Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,ADWon,ADLost,ADWonp
2515,Djed Spence,ENG,"FW,DF","Tottenham,Rennes","Premier League,Ligue 1",21,2000,6.5,0,0,0,7,9,0,4,4,6,0,0,0,36,5,1,83.33333333333334
2517,Stijn Spierings,NED,MF,Toulouse,Ligue 1,26,1996,34.7,6,0,0,55,50,0,21,53,67,1,1,0,336,20,20,50.0
2518,Leonardo Spinazzola,ITA,DF,Roma,Serie A,29,1993,18.4,3,0,0,13,13,1,57,9,8,0,0,0,99,9,8,52.94117647058824
2519,Marco Sportiello,ITA,GK,Atalanta,Serie A,30,1992,14.9,0,0,0,0,2,0,0,0,0,0,0,0,27,4,0,100.0
2520,Jack Stacey,ENG,DF,Bournemouth,Premier League,26,1996,3.3,2,0,0,4,0,1,10,5,4,0,0,0,15,5,3,62.5
2521,Anton Stach,GER,MF,Mainz 05,Bundesliga,23,1998,23.0,4,0,0,26,40,3,62,41,21,0,1,0,167,72,31,69.90291262135922
2522,Kostas Stafylidis,GRE,"DF,MF",Bochum,Bundesliga,28,1993,11.6,4,0,0,16,16,0,26,20,16,0,0,0,73,14,20,41.17647058823529
2523,Jens Stage,DEN,MF,Werder Bremen,Bundesliga,25,1996,20.6,5,0,0,32,19,0,13,16,17,0,0,0,95,52,45,53.608247422680414
2524,Veit Stange,GER,MF,Hertha BSC,Bundesliga,18,2004,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
2525,Josip Stanišić,CRO,DF,Bayern Munich,Bundesliga,22,2000,6.4,1,0,0,5,3,0,8,7,11,0,0,0,33,6,3,66.66666666666666
2526,Junior Stanislas,ENG,MF,Bournemouth,Premier League,32,1989,0.7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0
2527,Jay Stansfield,ENG,FW,Fulham,Premier League,19,2002,1.0,0,0,0,1,1,0,3,1,0,0,0,0,7,0,1,0.0
2528,Niklas Stark,GER,DF,Werder Bremen,Bundesliga,27,1995,23.1,9,0,0,41,18,1,2,37,36,0,0,0,113,45,53,45.91836734693878
2529,Jason Steele,ENG,GK,Brighton,Premier League,31,1990,15.0,1,0,0,1,1,0,0,0,0,0,0,1,22,1,0,100.0
2530,Calvin Stengs,NED,FW,Nice,Ligue 1,23,1998,2.4,0,0,0,5,6,0,3,0,2,0,0,0,13,1,1,50.0
2531,Pascal Stenzel,GER,DF,Stuttgart,Bundesliga,26,1996,3.7,0,0,0,3,2,0,21,5,8,0,0,0,29,1,2,33.33333333333333
2532,Jack Stephens,ENG,DF,"Southampton,Bournemouth",Premier League,28,1994,13.5,3,0,0,9,2,0,2,17,13,0,0,0,66,17,19,47.22222222222222
2534,Raheem Sterling,ENG,"FW,MF",Chelsea,Premier League,27,1994,21.0,4,0,0,21,32,11,46,2,10,0,0,0,66,5,13,27.77777777777778
2535,Angelo Stiller,GER,MF,Hoffenheim,Bundesliga,21,2001,7.8,1,0,0,11,3,0,6,10,12,0,0,0,51,16,10,61.53846153846154
2536,Lars Stindl,GER,"FW,MF",M'Gladbach,Bundesliga,33,1988,19.3,9,0,0,30,39,8,19,11,14,0,0,0,72,9,28,24.324324324324326
2537,Kevin Stöger,AUT,MF,Bochum,Bundesliga,28,1993,28.9,3,0,0,41,54,0,156,26,45,0,0,0,181,11,42,20.754716981132077
2538,Petar Stojanović,SVN,DF,Empoli,Serie A,26,1995,17.0,3,0,0,12,15,0,35,11,22,0,0,0,91,4,7,36.36363636363637
2539,John Stones,ENG,"DF,MF",Manchester City,Premier League,28,1994,20.5,2,0,0,10,8,1,6,9,13,0,0,1,90,33,16,67.3469387755102
2540,Jørgen Strand Larsen,NOR,FW,Celta Vigo,La Liga,22,2000,18.9,4,0,0,34,43,13,4,3,7,1,0,0,42,42,47,47.19101123595505
2541,Tony Strata,FRA,"MF,DF",Ajaccio,Ligue 1,17,2004,1.5,1,0,0,3,1,0,0,1,3,0,0,0,9,0,0,
2542,Gabriel Strefezza,0,"DF,FW",Lecce,Serie A,25,1997,27.1,5,0,0,51,71,0,121,16,27,0,0,0,0,0,0,
